flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
7114.768,9.264387,0.0037993668,730707,1306.9083573058087,1439.0609448152875,6626.9634,7.7156982,1016.5698,2.4001927,7114.768,9.264387,0,,,,,1306.9083573058087,0.0008191254,1439.0609448152875,0.00083133514,-0.015250248,-0.012382555
7125.944,9.270455,0.0037993973,730708,1306.9066716760074,1439.0630222469883,6634.27,7.7207513,1017.62775,2.4014509,7125.944,9.270455,0,,,,,1306.9066716760074,0.0008182979,1439.0630222469883,0.0008313518,-0.017325709,-0.009999796
7118.6436,9.276324,0.0037994278,730709,1306.9066134981324,1439.0627975487416,6631.086,7.72564,1020.6935,2.4052231,7118.6436,9.276324,0,,,,,1306.9066134981324,0.0008181893,1439.0627975487416,0.00083334796,-0.01527191,-0.011962224
7121.177,9.27171,0.0037994583,730710,1306.9080155986364,1439.0596154098716,6634.188,7.7217975,1019.10876,2.404175,7121.177,9.27171,0,,,,,1306.9080155986364,0.00081766443,1439.0596154098716,0.0008316791,-0.016300434,-0.0133855445
7106.2593,9.261988,0.0037994888,730711,1306.9115089002605,1439.0628007429261,6621.1167,7.7137003,1020.6255,2.4032707,7106.2593,9.261988,0,,,,,1306.9115089002605,0.0008184805,1439.0628007429261,0.0008317833,-0.012080877,-0.009785816
7116.145,9.2626505,0.0037995193,730712,1306.908440220033,1439.0641796387015,6626.9917,7.714252,1017.187,2.399846,7116.145,9.2626505,0,,,,,1306.908440220033,0.00081825216,1439.0641796387015,0.0008303894,-0.015487362,-0.0095207915
7110.492,9.258811,0.0037995498,730713,1306.90627994958,1439.061345441795,6624.233,7.7110543,1017.70575,2.3985202,7110.492,9.258811,0,,,,,1306.90627994958,0.00081917644,1439.061345441795,0.000831468,-0.016066035,-0.013854218
7126.236,9.270503,0.0037995803,730714,1306.9073813052405,1439.061807698832,6635.2314,7.720792,1020.6863,2.4060943,7126.236,9.270503,0,,,,,1306.9073813052405,0.00081703847,1439.061807698832,0.00083063456,-0.015082457,-0.009642101
7107.6675,9.262183,0.0037996108,730715,1306.907269264233,1439.0626656558768,6620.6914,7.713863,1018.746,2.400736,7107.6675,9.262183,0,,,,,1306.907269264233,0.0008195008,1439.0626656558768,0.00083151663,-0.0152997505,-0.010428229
7123.593,9.271022,0.0037996413,730716,1306.9085547146003,1439.0600799504368,6633.992,7.721224,1021.05994,2.4055583,7123.593,9.271022,0,,,,,1306.9085547146003,0.00081829395,1439.0600799504368,0.00083096314,-0.016177941,-0.014176736
7112.2466,9.262826,0.0037996718,730717,1306.905966684946,1439.0597968534455,6624.626,7.7143974,1020.6351,2.4026496,7112.2466,9.262826,0,,,,,1306.905966684946,0.0008174324,1439.0597968534455,0.00083187025,-0.017019155,-0.012325924
