time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1817.1812039616195,6693.7017,3.3387132,0.0037317057,28306,1507.2896160703783,1179.534119644956,5474.972,2.5849495,1178.9437,0.89900357,6693.7017,3.3387132,0,,,,,1507.2896160703783,0.00036317008,1179.534119644956,0.00029970784,0.00582915,0.041110404
1817.2020377206702,6704.9307,3.3384683,0.0037321402,28307,1507.2867160307273,1179.5303318114813,5488.184,2.58476,1177.7887,0.8978421,6704.9307,3.3384683,0,,,,,1507.2867160307273,0.0003625676,1179.5303318114813,0.0002987745,0.0031030222,0.035380978
1817.22287147879,6700.8257,3.3403585,0.0037325737,28308,1507.2891866402522,1179.5329344092079,5485.407,2.5862234,1178.3615,0.8988105,6700.8257,3.3403585,0,,,,,1507.2891866402522,0.0003638735,1179.5329344092079,0.0002988154,0.0059844865,0.03822199
1817.2645389920024,6697.8745,3.3389134,0.0037334377,28310,1507.288287763506,1179.5330044838447,5485.124,2.5851047,1177.7834,0.89866674,6697.8745,3.3389134,0,,,,,1507.288287763506,0.00036261673,1179.5330044838447,0.00029905938,0.0051455176,0.038676396
1817.2853727473278,6691.5005,3.3419557,0.0037338685,28311,1507.2874027639944,1179.5327190996618,5477.7246,2.58746,1179.9055,0.8989357,6691.5005,3.3419557,0,,,,,1507.2874027639944,0.00036347305,1179.5327190996618,0.00030021215,0.003364372,0.038349546
1817.3062065017214,6698.9873,3.3375568,0.0037342983,28312,1507.2878031174143,1179.5296407290143,5477.7993,2.5840542,1179.8748,0.8983987,6698.9873,3.3375568,0,,,,,1507.2878031174143,0.0003629658,1179.5296407290143,0.0002992787,0.0041242787,0.035724476
1817.327040254952,6696.3853,3.338761,0.003734727,28313,1507.2871404132327,1179.5323525329618,5485.332,2.584987,1178.1959,0.8984051,6696.3853,3.338761,0,,,,,1507.2871404132327,0.00036246888,1179.5323525329618,0.00029887108,0.0038209134,0.037848502
1817.3478740074845,6706.359,3.3407462,0.0037351549,28314,1507.2884657091925,1179.5323062479322,5492.3276,2.5865238,1177.5159,0.89853853,6706.359,3.3407462,0,,,,,1507.2884657091925,0.00036220942,1179.5323062479322,0.00029871505,0.0048154504,0.03792009
1817.3687077590853,6702.9688,3.3394525,0.0037355819,28315,1507.2873817192037,1179.5324767569223,5491.3115,2.585522,1177.6514,0.897788,6702.9688,3.3394525,0,,,,,1507.2873817192037,0.00036257852,1179.5324767569223,0.0002985472,0.0035862823,0.036989104
1817.3895415097538,6699.779,3.3398995,0.003736008,28316,1507.288316880618,1179.533163225928,5488.176,2.5858684,1178.2041,0.90145844,6699.779,3.3398995,0,,,,,1507.288316880618,0.0003623523,1179.533163225928,0.00029859855,0.0043708333,0.037525285
1817.4103752594913,6703.168,3.3404958,0.003736433,28317,1507.2864990507264,1179.5327808504253,5491.8145,2.5863297,1177.4076,0.8983581,6703.168,3.3404958,0,,,,,1507.2864990507264,0.0003625238,1179.5327808504253,0.00029864194,0.0029006652,0.037257265
1817.4312090085307,6701.076,3.3385131,0.0037368576,28318,1507.2875672373016,1179.532071087113,5487.049,2.5847948,1177.8257,0.8979392,6701.076,3.3385131,0,,,,,1507.2875672373016,0.00036242223,1179.532071087113,0.00029884555,0.0039047024,0.03741696
1817.4520427564062,6708.427,3.3388693,0.0037372808,28319,1507.287148909038,1179.5325045507261,5494.6553,2.5850706,1176.6351,0.8979005,6708.427,3.3388693,0,,,,,1507.287148909038,0.00036203567,1179.5325045507261,0.00029828158,0.0039136917,0.037551396
1817.4728765035823,6699.166,3.338066,0.0037377034,28320,1507.2870658973509,1179.5327095872663,5489.218,2.5844488,1177.5957,0.8975098,6699.166,3.338066,0,,,,,1507.2870658973509,0.00036232697,1179.5327095872663,0.00029855577,0.0035418437,0.037297413
1817.4937102498272,6704.679,3.3436596,0.003738125,28321,1507.2879377182444,1179.5325997669374,5491.4927,2.5887792,1178.2328,0.899344,6704.679,3.3436596,0,,,,,1507.2879377182444,0.0003628542,1179.5325997669374,0.00029919491,0.0042148405,0.0378527
1817.5145439951414,6700.134,3.339159,0.0037385458,28322,1507.2874027853384,1179.5326219584456,5489.8643,2.585295,1178.4478,0.89769274,6700.134,3.339159,0,,,,,1507.2874027853384,0.00036228212,1179.5326219584456,0.0002986338,0.004199705,0.03688846
1817.535377739758,6699.9614,3.342117,0.0037389658,28323,1507.2874254556373,1179.5325707526895,5487.1646,2.587585,1177.9584,0.8989017,6699.9614,3.342117,0,,,,,1507.2874254556373,0.0003627229,1179.5325707526895,0.0002994872,0.0037151477,0.038362116
1817.5562114834422,6695.5737,3.3398283,0.003739385,28324,1507.2874749761354,1179.5309880573434,5487.2017,2.585813,1178.9719,0.90070754,6695.5737,3.3398283,0,,,,,1507.2874749761354,0.00036254036,1179.5309880573434,0.00029876508,0.0033663928,0.035530556
1817.5770452261947,6698.082,3.338056,0.003739803,28325,1507.2883041337004,1179.533873344901,5483.1616,2.584441,1180.004,0.89907867,6698.082,3.338056,0,,,,,1507.2883041337004,0.0003626539,1179.533873344901,0.00029886645,0.004290463,0.039811384
1817.5978789680157,6699.86,3.3419714,0.0037402203,28326,1507.2872991522304,1179.529310720557,5487.52,2.5874722,1177.5681,0.9024885,6699.86,3.3419714,0,,,,,1507.2872991522304,0.0003625147,1179.529310720557,0.00029908802,0.0025346237,0.033894897
1817.6187127091391,6708.221,3.3407767,0.0037406369,28327,1507.2886722995165,1179.5325442537946,5495.595,2.5865474,1178.2086,0.8977202,6708.221,3.3407767,0,,,,,1507.2886722995165,0.00036270358,1179.5325442537946,0.000298397,0.004567078,0.03754731
1817.639546449331,6701.302,3.3374968,0.0037410525,28328,1507.2857315887786,1179.5314016233147,5483.6533,2.584008,1179.1349,0.898212,6701.302,3.3374968,0,,,,,1507.2857315887786,0.00036247727,1179.5314016233147,0.0002988781,0.0019184895,0.037634157
1817.6603801888236,6696.957,3.3381062,0.0037414674,28329,1507.2880292481645,1179.5315838265449,5483.907,2.5844796,1179.2903,0.89833313,6696.957,3.3381062,0,,,,,1507.2880292481645,0.00036249319,1179.5315838265449,0.00029890955,0.004379435,0.03640215
1817.681213927386,6705.603,3.3393955,0.0037418813,28330,1507.2862229301734,1179.531434008191,5496.0166,2.5854778,1177.141,0.8981692,6705.603,3.3393955,0,,,,,1507.2862229301734,0.00036189717,1179.531434008191,0.00029822084,0.0022821322,0.0358616
1817.7020476650166,6698.234,3.3399904,0.0037422944,28331,1507.2877761332327,1179.5330207324203,5489.0767,2.5859385,1178.3458,0.897916,6698.234,3.3399904,0,,,,,1507.2877761332327,0.00036296813,1179.5330207324203,0.0002987394,0.0040802783,0.03749773
1817.7228814019488,6701.6206,3.3394842,0.0037427067,28332,1507.286966880244,1179.5325969550552,5489.851,2.5855465,1179.1399,0.8979131,6701.6206,3.3394842,0,,,,,1507.286966880244,0.00036251624,1179.5325969550552,0.0002986962,0.0031943896,0.037556615
1817.74371513795,6700.1753,3.3395607,0.0037431181,28333,1507.286944380199,1179.5317167191113,5490.105,2.5856059,1178.9998,0.8977069,6700.1753,3.3395607,0,,,,,1507.286944380199,0.0003624014,1179.5317167191113,0.0002987993,0.0032911005,0.03580058
1817.7645488732517,6703.9585,3.3392851,0.0037435289,28334,1507.2866770184373,1179.5323671411159,5488.788,2.5853925,1177.8016,0.89805686,6703.9585,3.3392851,0,,,,,1507.2866770184373,0.00036310623,1179.5323671411159,0.00029857503,0.002981873,0.037192307
